type,Aggressive,Non Aggressive
Reptile,15,21
Flatwoods,15,13
Nordic,16,24
Green,21,17
Flatwoods,23,20
Nordic,18,22
Flatwoods,12,8
Flatwoods,15,16
Green,17,13
Flatwoods,16,16
Flatwoods,14,13
Flatwoods,13,15
Grey,18,16
Green,22,16
Flatwoods,14,16
Flatwoods,18,19
Green,17,12
Flatwoods,17,18
Reptile,19,19
Grey,17,21
Flatwoods,11,23
Reptile,15,14
Flatwoods,22,13
Green,21,22
Green,16,19
Nordic,13,11
Flatwoods,19,12
Green,18,25
Reptile,13,10
Reptile,16,21
Flatwoods,21,22
Flatwoods,16,23
Flatwoods,16,17
Nordic,13,10
Flatwoods,18,18
Grey,19,18
Flatwoods,19,18
Grey,14,20
Nordic,17,17
Reptile,10,18
Nordic,22,15
Grey,13,11
Green,18,17
Green,16,23
Nordic,18,15
Reptile,22,20
Flatwoods,23,14
Nordic,14,14
Nordic,15,15
Reptile,20,19
Reptile,25,25
Flatwoods,12,13
Grey,19,20
Reptile,25,13
Grey,19,18
Reptile,18,19
Nordic,22,12
Reptile,15,12
Grey,20,26
Green,23,16
Green,16,27
Grey,13,15
Green,14,16
Flatwoods,11,18
Nordic,25,16
Flatwoods,18,20
Green,16,18
Nordic,15,15
Reptile,13,21
Nordic,16,12
Flatwoods,21,20
Flatwoods,17,16
Reptile,17,13
Reptile,22,32
Grey,17,17
Green,18,15
Green,18,16
Green,21,18
Grey,15,18
Reptile,14,17
Green,16,11
Green,20,18
Grey,21,25
Grey,20,23
Green,10,9
Nordic,13,23
Green,23,15
Reptile,16,12
Nordic,20,12
Reptile,16,15
Nordic,15,16
Nordic,18,17
Flatwoods,13,14
Green,16,18
Nordic,18,16
Green,21,16
Nordic,17,10
Nordic,18,11
Green,18,12
Flatwoods,17,16
Green,23,21
Green,17,19
Nordic,16,12
Nordic,16,13
Grey,19,20
Grey,17,18
Flatwoods,21,17
Reptile,15,22
Reptile,20,17
Green,24,19
Grey,20,11
Flatwoods,13,12
Nordic,16,18
Flatwoods,17,22
Nordic,15,18
Flatwoods,13,22
Grey,9,18
Grey,16,18
Green,22,15
Green,16,14
Green,20,12
Flatwoods,21,20
Nordic,20,15
Reptile,18,12
Reptile,12,17
Flatwoods,15,16
Reptile,10,15
Green,13,23
Grey,18,16
Grey,22,19
Grey,13,13
Nordic,21,16
Green,21,18
Green,11,14
Flatwoods,10,14
Nordic,14,22
Flatwoods,13,20
Grey,21,20
Grey,18,17
Nordic,16,6
Flatwoods,15,14
Nordic,16,13
Flatwoods,13,19
Flatwoods,23,22
Grey,16,23
Green,26,13
Nordic,14,13
Grey,22,25
Grey,17,14
Grey,15,20
Flatwoods,19,19
Reptile,11,12
Nordic,10,15
Green,21,12
Flatwoods,22,23
Reptile,14,23
Reptile,16,16
Flatwoods,15,19
Flatwoods,13,15
Grey,17,14
Nordic,18,20
Grey,15,25
Green,16,15
Flatwoods,26,16
Grey,12,21
Reptile,13,15
Flatwoods,18,18
Reptile,16,12
Grey,11,21
Flatwoods,25,15
Flatwoods,20,12
Grey,11,18
Grey,17,23
Green,22,21
Reptile,21,13
Reptile,18,16
Grey,17,16
Grey,20,14
Flatwoods,10,14
Grey,25,12
Flatwoods,19,17
Green,11,21
Nordic,16,11
Flatwoods,21,15
Grey,14,26
Nordic,18,18
Reptile,14,16
Green,13,18
Green,22,12
Grey,20,14
Nordic,17,22
Grey,16,14
Reptile,17,20
Grey,23,14
Nordic,15,13
Nordic,17,13
Nordic,18,15
Reptile,16,15
Green,20,17
Reptile,19,22
Nordic,15,14
Flatwoods,12,14
Nordic,7,24
Green,14,15
Grey,20,17
Flatwoods,22,17
Green,21,22
Flatwoods,15,11
Reptile,27,12
Nordic,21,16
Reptile,18,14
Grey,10,15
Grey,17,18
Grey,13,14
Grey,17,20
Reptile,22,16
Grey,19,20
Nordic,15,12
Grey,14,21
Nordic,15,15
Grey,12,18
Grey,18,22
Green,12,14
Nordic,14,16
Reptile,18,24
Green,21,18
Grey,14,25
Nordic,18,18
Green,16,17
Reptile,12,17
Flatwoods,16,18
Nordic,11,20
Flatwoods,15,16
Reptile,13,22
Reptile,16,14
Green,12,18
Grey,16,14
Flatwoods,12,22
Grey,12,19
Reptile,17,13
Green,16,15
Flatwoods,23,22
Reptile,10,16
Reptile,15,22
Reptile,8,21
Grey,19,17
Flatwoods,18,17
Green,13,11
Grey,10,15
Grey,16,13
Green,20,16
Flatwoods,17,17
Nordic,15,14
Reptile,13,21
Nordic,9,13
Reptile,21,26
Nordic,11,19
Flatwoods,18,15
Grey,15,16
Nordic,14,21
Nordic,13,16
Reptile,15,18
Nordic,15,15
Grey,18,19
Green,24,17
Nordic,28,18
Nordic,24,17
Green,8,13
Reptile,16,16
Reptile,14,16
Grey,19,7
Nordic,20,13
Grey,11,11
Green,21,15
Reptile,22,14
Flatwoods,24,19
Green,17,20
Green,16,17
Nordic,18,17
Flatwoods,18,17
Grey,17,18
Grey,16,11
Grey,14,15
Green,17,16
Green,21,14
Flatwoods,33,17
Green,13,11
Green,11,26
Nordic,15,19
Flatwoods,19,16
Green,12,8
Grey,25,26
Reptile,22,24
Grey,24,22
Nordic,15,14
Grey,17,15
Reptile,24,16
Reptile,15,13
Reptile,19,12
Flatwoods,18,18
Grey,19,16
Nordic,11,13
Flatwoods,13,23
Reptile,19,15
Reptile,7,16
Reptile,13,18
Nordic,15,11
Flatwoods,19,17
Flatwoods,14,16
Flatwoods,18,15
Green,19,17
Green,15,21
Flatwoods,13,14
Reptile,16,17
Reptile,19,14
Grey,23,22
Reptile,9,16
Reptile,21,19
Grey,15,11
Flatwoods,22,19
Reptile,18,16
Flatwoods,22,17
Flatwoods,24,14
Nordic,16,11
Flatwoods,9,12
Flatwoods,12,18
Reptile,14,12
Flatwoods,14,13
Green,20,16
Green,8,9
Grey,21,15
Flatwoods,13,24
Grey,18,16
Reptile,23,17
Grey,16,12
Grey,17,11
Grey,19,15
Nordic,20,11
Reptile,17,9
Flatwoods,15,13
Grey,16,23
Green,17,16
Flatwoods,20,26
Reptile,13,21
Green,22,18
Flatwoods,17,11
Reptile,10,17
Nordic,22,9
Grey,20,15
Flatwoods,18,17
Green,22,23
Nordic,15,12
Flatwoods,19,7
Grey,14,14
Flatwoods,14,18
Green,18,11
Grey,14,13
Green,17,18
Green,17,16
Reptile,18,15
Nordic,16,20
Green,17,18
Grey,20,19
Green,16,6
Flatwoods,13,12
Nordic,16,22
Reptile,17,15
Reptile,24,18
Flatwoods,18,10
Nordic,15,14
Green,23,21
Reptile,17,7
Nordic,16,7
Nordic,15,13
Nordic,14,16
Grey,17,17
Green,11,18
Green,30,24
Nordic,17,25
Grey,17,18
Nordic,14,14
Reptile,10,15
Nordic,15,15
Nordic,14,15
Green,12,23
Nordic,13,10
Green,16,15
Green,12,17
Nordic,18,11
Nordic,11,20
Green,17,14
Green,17,8
Reptile,21,21
Reptile,10,10
Nordic,14,17
Nordic,22,21
Flatwoods,18,14
Nordic,12,13
Green,17,15
Grey,17,19
Reptile,9,19
Reptile,16,17
Flatwoods,21,16
Nordic,13,13
Nordic,16,12
Grey,21,22
Nordic,21,33
Grey,24,15
Flatwoods,15,14
Reptile,14,17
Green,21,19
Grey,12,16
Green,19,16
Flatwoods,12,22
Green,16,16
Reptile,16,16
Reptile,16,18
Reptile,14,22
Grey,12,11
Nordic,20,22
Grey,15,15
Reptile,12,14
Green,18,10
Nordic,18,15
Flatwoods,11,16
Nordic,19,20
Grey,16,16
Flatwoods,12,19
Flatwoods,17,14
Nordic,19,17
Grey,15,26
Nordic,16,18
Grey,18,18
Grey,14,15
Green,18,13
Nordic,25,22
Green,21,19
Reptile,24,13
Reptile,13,13
Flatwoods,24,16
Flatwoods,18,16
Nordic,14,12
Reptile,23,13
Reptile,19,14
Grey,12,21
Flatwoods,16,16
Grey,18,18
Green,19,14
Grey,5,13
Reptile,17,18
Reptile,13,23
Nordic,17,18
Reptile,13,18
Reptile,14,18
Flatwoods,8,15
Grey,19,17
Nordic,19,16
Flatwoods,13,17
Grey,18,17
Reptile,27,22
Grey,21,27
Reptile,11,16
Reptile,21,19
Green,17,13
Reptile,17,19
Green,21,13
Flatwoods,11,14
Nordic,20,20
Green,21,17
Grey,14,17
Green,14,17
Green,7,16
Grey,18,15
Green,21,17
Nordic,8,14
Green,16,13
Green,21,18
Flatwoods,15,21
Reptile,14,13
Nordic,14,11
Nordic,18,12
Green,19,17
Nordic,10,17
Nordic,15,19
Reptile,20,14
Nordic,18,15
Nordic,20,10
Reptile,16,23
Grey,17,17
Grey,23,18
Flatwoods,11,20
Nordic,15,15
Grey,13,19
Flatwoods,12,15
Green,15,9
Grey,14,20
Nordic,17,7
Reptile,9,13
Green,17,15
Reptile,15,13
Flatwoods,17,15
Grey,19,12
Reptile,16,15
Green,16,14
Green,19,10
Reptile,8,16
Green,15,15
Flatwoods,15,18
Green,20,20
Grey,14,15
Grey,13,17
Flatwoods,23,15
Flatwoods,16,20
Green,10,20
Flatwoods,17,15
Reptile,20,19
Grey,25,9
Reptile,14,21
Reptile,17,26
Reptile,16,17
Reptile,18,16
Green,24,16
Flatwoods,19,7
Grey,17,22
Reptile,15,16
Nordic,19,18
Grey,17,18
Green,21,23
Green,20,14
Grey,19,21
Green,17,19
Flatwoods,18,16
Reptile,19,18
Reptile,19,15
Nordic,20,16
Green,5,18
Flatwoods,11,19
Flatwoods,16,17
Flatwoods,12,20
Reptile,20,23
Flatwoods,25,20
Reptile,14,19
Grey,14,17
Flatwoods,17,19
Nordic,17,16
Grey,17,15
Flatwoods,17,20
Grey,10,16
Grey,26,18
Nordic,14,17
Green,16,17
Flatwoods,21,14
Grey,14,14
Nordic,23,20
Grey,17,15
Flatwoods,12,13
Flatwoods,17,25
Reptile,17,15
Flatwoods,17,22
Reptile,21,12
Green,15,21
Grey,14,14
Nordic,18,14
Reptile,19,23
Green,20,13
Reptile,14,17
Nordic,15,23
Nordic,13,24
Grey,20,18
Reptile,14,17
Grey,12,19
Grey,18,14
Green,15,18
Green,16,8
Flatwoods,9,18
Nordic,12,20
Grey,23,16
Green,18,18
Flatwoods,19,12
Grey,19,18
Flatwoods,13,23
Grey,15,17
Green,25,15
Green,22,21
Green,17,10
Green,19,24
Flatwoods,18,29
Grey,19,14
Grey,16,18
Nordic,22,18
Flatwoods,18,15
Reptile,17,10
Reptile,16,11
Green,15,14
Reptile,18,17
Grey,17,15
Green,19,18
Green,27,18
Grey,20,25
Reptile,20,18
Flatwoods,17,16
Reptile,21,18
Flatwoods,13,17
Nordic,15,16
Green,15,16
Green,16,19
Flatwoods,15,17
Reptile,13,14
Flatwoods,12,16
Green,25,24
Reptile,20,20
Green,12,18
Flatwoods,14,17
Reptile,16,15
Grey,21,18
Reptile,21,17
Nordic,13,24
Grey,15,15
Flatwoods,22,17
Grey,14,15
Grey,17,12
Green,13,11
Flatwoods,7,12
Green,14,21
Nordic,17,22
Nordic,9,10
Grey,13,25
Green,20,12
Flatwoods,13,15
Flatwoods,17,19
Nordic,14,22
Reptile,14,14
Flatwoods,20,12
Green,15,14
Nordic,20,12
Nordic,19,14
Green,13,19
Reptile,17,9
Reptile,13,8
Green,17,23
Flatwoods,19,14
Flatwoods,20,15
Nordic,19,23
Green,22,12
Grey,11,17
Flatwoods,19,14
Nordic,23,13
Grey,18,17
Grey,17,18
Grey,15,23
Green,15,12
Reptile,18,20
Flatwoods,9,17
Nordic,14,20
Flatwoods,14,10
Nordic,12,20
Reptile,14,17
Flatwoods,19,21
Reptile,13,25
Reptile,15,21
Green,21,14
Flatwoods,23,11
Grey,15,19
Flatwoods,16,13
Flatwoods,12,16
Green,14,15
Grey,21,20
Grey,20,16
Green,19,13
Nordic,15,22
Reptile,19,16
Nordic,18,19
Nordic,16,13
Reptile,16,21
Nordic,16,19
Reptile,15,10
Grey,11,17
Green,11,21
Flatwoods,11,14
Green,12,20
Reptile,11,20
Nordic,15,23
Nordic,16,19
Reptile,15,21
Reptile,12,21
Nordic,15,14
Green,16,15
Green,12,9
Flatwoods,19,15
Reptile,14,12
Green,12,24
Nordic,18,17
Grey,14,14
Flatwoods,10,13
Flatwoods,26,10
Flatwoods,18,19
Green,12,17
Reptile,13,15
Reptile,17,14
Green,21,24
Grey,20,18
Grey,19,15
Reptile,16,14
Flatwoods,9,22
Flatwoods,17,18
Flatwoods,21,8
Flatwoods,15,15
Flatwoods,20,15
Reptile,9,19
Reptile,14,9
Nordic,15,15
Grey,18,19
Flatwoods,18,20
Green,22,24
Grey,19,14
Green,19,14
Reptile,18,13
Flatwoods,14,15
Nordic,17,18
Green,19,16
Reptile,10,10
Green,20,12
Reptile,22,23
Flatwoods,16,14
Reptile,12,16
Reptile,10,10
Flatwoods,27,24
Flatwoods,27,22
Reptile,18,15
Grey,17,16
Nordic,9,12
Nordic,24,17
Nordic,22,20
Grey,16,15
Grey,17,12
Flatwoods,21,23
Green,16,17
Reptile,14,14
Nordic,11,15
Flatwoods,18,7
Reptile,14,18
Nordic,19,20
Grey,25,18
Nordic,19,16
Flatwoods,19,15
Green,13,16
Green,23,15
Reptile,22,21
Flatwoods,11,15
Grey,15,13
Nordic,15,20
Nordic,14,20
Green,16,17
Reptile,22,16
Flatwoods,18,18
Grey,14,18
Grey,15,17
Green,13,23
Green,23,10
Reptile,19,20
Green,19,16
Grey,10,10
Green,27,13
Nordic,20,10
Grey,26,12
Reptile,15,20
Green,14,22
Green,15,20
Flatwoods,17,15
Green,16,23
Grey,18,20
Grey,19,19
Green,14,15
Nordic,11,14
Green,31,12
Nordic,12,8
Reptile,18,17
Green,11,17
Flatwoods,16,15
Grey,21,12
Flatwoods,21,15
Green,18,13
Flatwoods,12,17
Grey,19,17
Reptile,18,17
Grey,16,20
Green,15,16
Reptile,19,19
Grey,22,20
Green,14,22
Grey,20,20
Reptile,14,9
