Column1,Column2
aggressive,Other
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Non-Aggressive,Other
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
Aggressive,Female
